RBP	variable	value
LIN28A	hsa-let-7a-1	1.743679163034
LIN28B	hsa-let-7a-1	0.711743772241993
ZCCHC11	hsa-let-7a-1	2.26337448559671
ZCCHC6	hsa-let-7a-1	2.55102040816327
HNRNPL	hsa-let-7a-1	5.87283131648289
STRBP	hsa-let-7a-1	12.4588563914257
NUDT16L1	hsa-let-7a-1	6.18994024341069
GRSF1	hsa-let-7a-1	10.3699851569852
HNRNPF	hsa-let-7a-1	3.87223897857948
HNRNPH1	hsa-let-7a-1	2.73260152284795
HNRNPH2	hsa-let-7a-1	4.55045832419122
HNRNPH3	hsa-let-7a-1	5.21560316260472
ADARB1	hsa-let-7a-1	13.7827006876996
ESRP1	hsa-let-7a-1	4.54174321290059
TRMT10C	hsa-let-7a-1	0
RBM4	hsa-let-7a-1	1.7954822954823
RBM4B	hsa-let-7a-1	0
RBM12B	hsa-let-7a-1	0
SLTM	hsa-let-7a-1	0
SAFB	hsa-let-7a-1	3.57142857142857
FUS	hsa-let-7a-1	1.48828582543482
TAF15	hsa-let-7a-1	1.76361692190696
RBM14	hsa-let-7a-1	1.25914047740802
DDX1	hsa-let-7a-1	2.85308955576863
APOBEC3B	hsa-let-7a-1	0.646120049105124
RTCB	hsa-let-7a-1	2.92047067449336
DDX23	hsa-let-7a-1	0
RBM47	hsa-let-7a-1	0
PRMT1	hsa-let-7a-1	1.37275759868442
RBM6	hsa-let-7a-1	0
SUGP1	hsa-let-7a-1	0
PLRG1	hsa-let-7a-1	0
CDC5L	hsa-let-7a-1	0
CDC40	hsa-let-7a-1	0
SF3A1	hsa-let-7a-1	0.655737704918033
SF3A3	hsa-let-7a-1	0
SF3B1	hsa-let-7a-1	2.14513898935571
SF3B2	hsa-let-7a-1	1.17832724940425
SF3B3	hsa-let-7a-1	1.95665197724422
SF3B4	hsa-let-7a-1	0.4
SF3B5	hsa-let-7a-1	0
U2SURP	hsa-let-7a-1	2.3287018198704
RBM10	hsa-let-7a-1	0.769230769230769
CHERP	hsa-let-7a-1	0
CCAR1	hsa-let-7a-1	0
RBM17	hsa-let-7a-1	0
RBM5	hsa-let-7a-1	0
AQR	hsa-let-7a-1	1.66666666666667
XAB2	hsa-let-7a-1	0
PAXBP1	hsa-let-7a-1	0
PURA	hsa-let-7a-1	0.332225913621262
PURB	hsa-let-7a-1	0
PLOD1	hsa-let-7a-1	7.99541555752736
HNRNPA0	hsa-let-7a-1	2.23846897758907
HNRNPA1	hsa-let-7a-1	2.42139859969085
HNRNPA2B1	hsa-let-7a-1	2.42645971773656
HNRNPA3	hsa-let-7a-1	2.74226206099507
HNRNPK	hsa-let-7a-1	1.85837655589153
KIN	hsa-let-7a-1	0
TRIM71	hsa-let-7a-1	0
G3BP2	hsa-let-7a-1	0.815217391304348
ZC3H7A	hsa-let-7a-1	0
ZC3H7B	hsa-let-7a-1	0
XRN1	hsa-let-7a-1	0
TRIM25	hsa-let-7a-1	0
ATXN2L	hsa-let-7a-1	1.13876319758673
ATXN2	hsa-let-7a-1	0
NUFIP2	hsa-let-7a-1	0.927797035179586
TTC3	hsa-let-7a-1	0
PAPD4	hsa-let-7a-1	1.25172481766213
ZC3H11A	hsa-let-7a-1	0
HNRNPM	hsa-let-7a-1	1.16265923719945
ZNF346	hsa-let-7a-1	0.466446753332247
RTCA	hsa-let-7a-1	0
DHX36	hsa-let-7a-1	5.85394596856315
USP36	hsa-let-7a-1	0
